"day   ","station1    ","station2    ","station3    ",station4
"1     ","0.007971916 ","0.002447342 ","0.007863591 ",0.088264794
"2     ","0.007971916 ","0.002447342 ","0.008124373 ",0.088264794
"3     ","0.007971916 ","0.002347041 ","0.008124373 ",0.088264794
"4     ","0.007971916 ","0.002347041 ","0.008365095 ",0.088264794
"5     ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"6     ","0.007971916 ","0.002246740 ","0.008886660 ",0.088264794
"7     ","0.007971916 ","0.002246740 ","0.008886660 ",0.088264794
"8     ","0.007971916 ","0.002246740 ","0.008625878 ",0.088264794
"9     ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"10    ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"11    ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"12    ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"13    ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"14    ","0.007971916 ","0.002347041 ","0.008886660 ",0.088264794
"15    ","0.007971916 ","0.002347041 ","0.008886660 ",0.088264794
"16    ","0.007971916 ","0.002347041 ","0.008625878 ",0.088264794
"17    ","0.008088265 ","0.002347041 ","0.008625878 ",0.088264794
"18    ","0.008204614 ","0.002347041 ","0.008625878 ",0.088264794
"19    ","0.008204614 ","0.002347041 ","0.008365095 ",0.088264794
"20    ","0.008320963 ","0.002447342 ","0.007863591 ",0.088264794
"21    ","0.008320963 ","0.002447342 ","0.007863591 ",0.088264794
"22    ","0.008320963 ","0.002447342 ","0.007863591 ",0.088264794
"23    ","0.008320963 ","0.002547643 ","0.008365095 ",0.088264794
"24    ","0.008204614 ","0.002547643 ","0.008625878 ",0.088264794
"25    ","0.008088265 ","0.002447342 ","0.008625878 ",0.088264794
"26    ","0.008088265 ","0.002447342 ","0.008886660 ",0.088264794
"27    ","0.008088265 ","0.002447342 ","0.008886660 ",0.088264794
"28    ","0.007971916 ","0.002347041 ","0.009147442 ",0.088264794
"29    ","0.007971916 ","0.002347041 ","0.009147442 ",0.088264794
"30    ","0.007971916 ","0.002347041 ","0.009147442 ",0.088264794
"31    ","0.007971916 ","0.002347041 ","0.008886660 ",0.088264794
"32    ","0.007971916 ","0.002447342 ","0.008886660 ",0.088264794
"33    ","0.007971916 ","0.002447342 ","0.009147442 ",0.088264794
"34    ","0.007971916 ","0.002447342 ","0.008886660 ",0.088264794
"35    ","0.007971916 ","0.002447342 ","0.008886660 ",0.088264794
"36    ","0.008204614 ","0.002447342 ","0.008625878 ",0.088264794
"37    ","0.008320963 ","0.002347041 ","0.008886660 ",0.088264794
"38    ","0.008437312 ","0.002347041 ","0.009428285 ",0.088264794
"39    ","0.008437312 ","0.002347041 ","0.009709127 ",0.088264794
"40    ","0.008437312 ","0.002447342 ","0.009709127 ",0.088264794
"41    ","0.008437312 ","0.002347041 ","0.009428285 ",0.088264794
"42    ","0.008437312 ","0.002347041 ","0.009428285 ",0.088264794
"43    ","0.008437312 ","0.002347041 ","0.009147442 ",0.088264794
"44    ","0.008437312 ","0.002347041 ","0.008625878 ",0.088264794
"45    ","0.008553661 ","0.002347041 ","0.008625878 ",0.088264794
"46    ","0.008553661 ","0.002347041 ","0.008625878 ",0.088264794
"47    ","0.008553661 ","0.002347041 ","0.008625878 ",0.088264794
"48    ","0.008553661 ","0.002347041 ","0.008625878 ",0.088264794
"49    ","0.008437312 ","0.002347041 ","0.008625878 ",0.088264794
"50    ","0.008437312 ","0.002347041 ","0.008886660 ",0.088264794
"51    ","0.008437312 ","0.002347041 ","0.008886660 ",0.088264794
"52    ","0.008437312 ","0.002246740 ","0.008886660 ",0.088264794
"53    ","0.008437312 ","0.002246740 ","0.008886660 ",0.088264794
"54    ","0.008437312 ","0.002246740 ","0.008625878 ",0.088264794
"55    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"56    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"57    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"58    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"59    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"60    ","0.008553661 ","0.002146439 ","0.008365095 ",0.088264794
"61    ","0.008553661 ","0.002146439 ","0.008625878 ",0.088264794
"62    ","0.008553661 ","0.002046138 ","0.008625878 ",0.088264794
"63    ","0.008437312 ","0.001945838 ","0.008886660 ",0.088264794
"64    ","0.008437312 ","0.002046138 ","0.008625878 ",0.088264794
"65    ","0.008437312 ","0.002046138 ","0.008365095 ",0.088264794
"66    ","0.008320963 ","0.002146439 ","0.008124373 ",0.088264794
"67    ","0.008320963 ","0.002246740 ","0.007863591 ",0.088264794
"68    ","0.008320963 ","0.002246740 ","0.007382146 ",0.088264794
"69    ","0.008320963 ","0.002347041 ","0.007382146 ",0.088264794
"70    ","0.008204614 ","0.002347041 ","0.007382146 ",0.088264794
"71    ","0.008320963 ","0.002347041 ","0.007622869 ",0.088264794
"72    ","0.008320963 ","0.002246740 ","0.008124373 ",0.088264794
"73    ","0.008320963 ","0.002246740 ","0.008365095 ",0.088264794
"74    ","0.008320963 ","0.002246740 ","0.008365095 ",0.088264794
"75    ","0.008320963 ","0.002246740 ","0.008365095 ",0.088264794
"76    ","0.008320963 ","0.002246740 ","0.008365095 ",0.088264794
"77    ","0.008320963 ","0.002246740 ","0.008625878 ",0.088264794
"78    ","0.008437312 ","0.002146439 ","0.008625878 ",0.088264794
"79    ","0.008437312 ","0.002146439 ","0.008625878 ",0.088264794
"80    ","0.008437312 ","0.002146439 ","0.008365095 ",0.088264794
"81    ","0.008437312 ","0.002146439 ","0.008365095 ",0.088264794
"82    ","0.008437312 ","0.002146439 ","0.008365095 ",0.088264794
"83    ","0.008437312 ","0.002046138 ","0.008365095 ",0.088264794
"84    ","0.008437312 ","0.002146439 ","0.007863591 ",0.088264794
"85    ","0.008437312 ","0.002146439 ","0.007622869 ",0.088264794
"86    ","0.008553661 ","0.002046138 ","0.008124373 ",0.088264794
"87    ","0.008437312 ","0.002046138 ","0.008365095 ",0.088264794
"88    ","0.008437312 ","0.002146439 ","0.008365095 ",0.088264794
"89    ","0.008437312 ","0.002046138 ","0.008124373 ",0.088264794
"90    ","0.008437312 ","0.002046138 ","0.008124373 ",0.088264794
"91    ","0.008437312 ","0.002046138 ","0.007622869 ",0.088264794
"92    ","0.008553661 ","0.002146439 ","0.007121364 ",0.088264794
"93    ","0.008437312 ","0.002246740 ","0.007121364 ",0.088264794
"94    ","0.008437312 ","0.002246740 ","0.007382146 ",0.088264794
"95    ","0.008437312 ","0.002246740 ","0.007622869 ",0.088264794
"96    ","0.008320963 ","0.002246740 ","0.007863591 ",0.088264794
"97    ","0.008204614 ","0.002246740 ","0.008124373 ",0.088264794
"98    ","0.008088265 ","0.002246740 ","0.008124373 ",0.088264794
"99    ","0.008088265 ","0.002246740 ","0.008124373 ",0.088264794
"100   ","0.008088265 ","0.002246740 ","0.008124373 ",0.088264794
"101   ","0.008088265 ","0.002146439 ","0.008124373 ",0.088264794
"102   ","0.008088265 ","0.002146439 ","0.008365095 ",0.088264794
"103   ","0.008088265 ","0.002146439 ","0.008365095 ",0.088264794
"104   ","0.008088265 ","0.002046138 ","0.008365095 ",0.088264794
"105   ","0.008088265 ","0.002046138 ","0.008365095 ",0.088264794
"106   ","0.008204614 ","0.002046138 ","0.008124373 ",0.088264794
"107   ","0.008320963 ","0.002046138 ","0.008124373 ",0.088264794
"108   ","0.008320963 ","0.002146439 ","0.007863591 ",0.088264794
"109   ","0.008204614 ","0.002146439 ","0.007863591 ",0.088264794
"110   ","0.008320963 ","0.002046138 ","0.008365095 ",0.088264794
"111   ","0.008204614 ","0.002046138 ","0.008365095 ",0.088264794
"112   ","0.008204614 ","0.002046138 ","0.008365095 ",0.088264794
